	gene_id	unqlen	simple	genename	genetype
IGKV2-38	ENSG00000253592.1	247	ENSG00000253592	IGKV2-38	IG_V_pseudogene
MTCO2P4	ENSG00000253977.1	247	ENSG00000253977	MTCO2P4	processed_pseudogene
AC079905.2	ENSG00000257146.1	247	ENSG00000257146	AC079905.2	processed_pseudogene
AC004024.1	ENSG00000257624.1	247	ENSG00000257624	AC004024.1	processed_pseudogene
AC025254.1	ENSG00000258125.1	247	ENSG00000258125	AC025254.1	lincRNA
AL352979.3	ENSG00000258993.1	247	ENSG00000258993	AL352979.3	processed_pseudogene
AC005884.2	ENSG00000267449.1	247	ENSG00000267449	AC005884.2	antisense_RNA
AL391903.2	ENSG00000274256.1	247	ENSG00000274256	AL391903.2	processed_pseudogene
Z69908.1	ENSG00000274901.1	247	ENSG00000274901	Z69908.1	processed_pseudogene
RN7SL428P	ENSG00000277582.1	247	ENSG00000277582	RN7SL428P	misc_RNA
AC007450.3	ENSG00000277705.1	247	ENSG00000277705	AC007450.3	processed_pseudogene
AC243829.5	ENSG00000278097.1	247	ENSG00000278097	AC243829.5	lincRNA
RN7SL331P	ENSG00000278422.1	247	ENSG00000278422	RN7SL331P	misc_RNA
BX276092.4	ENSG00000230934.1	248	ENSG00000230934	BX276092.4	processed_pseudogene
CHEK2P3	ENSG00000234898.1	248	ENSG00000234898	CHEK2P3	unprocessed_pseudogene
AC115115.1	ENSG00000236555.1	248	ENSG00000236555	AC115115.1	processed_pseudogene
AL021397.1	ENSG00000237131.1	248	ENSG00000237131	AL021397.1	processed_pseudogene
RN7SL351P	ENSG00000240098.3	248	ENSG00000240098	RN7SL351P	misc_RNA
RPS21P4	ENSG00000242358.1	248	ENSG00000242358	RPS21P4	processed_pseudogene
AC012123.2	ENSG00000243355.1	248	ENSG00000243355	AC012123.2	processed_pseudogene
AC091912.1	ENSG00000249486.1	248	ENSG00000249486	AC091912.1	unprocessed_pseudogene
IGLC4	ENSG00000254029.1	248	ENSG00000254029	IGLC4	IG_C_pseudogene
AC008641.1	ENSG00000254298.1	248	ENSG00000254298	AC008641.1	lincRNA
AC089999.2	ENSG00000257286.1	248	ENSG00000257286	AC089999.2	antisense_RNA
RN7SL356P	ENSG00000266553.2	248	ENSG00000266553	RN7SL356P	misc_RNA
AC022884.3	ENSG00000266809.1	248	ENSG00000266809	AC022884.3	processed_pseudogene
AC112491.1	ENSG00000269888.1	248	ENSG00000269888	AC112491.1	lincRNA
AL109653.1	ENSG00000270709.1	248	ENSG00000270709	AL109653.1	processed_pseudogene
MZT1P2	ENSG00000271404.1	248	ENSG00000271404	MZT1P2	processed_pseudogene
AC131055.2	ENSG00000275480.1	248	ENSG00000275480	AC131055.2	unprocessed_pseudogene
AC006064.5	ENSG00000276232.1	248	ENSG00000276232	AC006064.5	sense_intronic
AL607023.1	ENSG00000277056.1	248	ENSG00000277056	AL607023.1	unprocessed_pseudogene
AC008626.2	ENSG00000279966.2	248	ENSG00000279966	AC008626.2	unprocessed_pseudogene
AL589826.1	ENSG00000187472.4	249	ENSG00000187472	AL589826.1	processed_pseudogene
SNORA53	ENSG00000212443.1	249	ENSG00000212443	SNORA53	snoRNA
DEFB113	ENSG00000214642.1	249	ENSG00000214642	DEFB113	protein_coding
MTCYBP4	ENSG00000220113.2	249	ENSG00000220113	MTCYBP4	processed_pseudogene
AC005006.1	ENSG00000223831.1	249	ENSG00000223831	AC005006.1	sense_intronic
AC121251.1	ENSG00000228171.1	249	ENSG00000228171	AC121251.1	unprocessed_pseudogene
AC013404.1	ENSG00000231017.1	249	ENSG00000231017	AC013404.1	processed_pseudogene
AC125238.1	ENSG00000233031.1	249	ENSG00000233031	AC125238.1	processed_pseudogene
DPH3P1	ENSG00000233838.5	249	ENSG00000233838	DPH3P1	processed_pseudogene
AC108667.1	ENSG00000237501.1	249	ENSG00000237501	AC108667.1	processed_pseudogene
AC090311.1	ENSG00000240983.1	249	ENSG00000240983	AC090311.1	processed_pseudogene
AC016553.1	ENSG00000248145.1	249	ENSG00000248145	AC016553.1	lincRNA
COX6B1P5	ENSG00000249047.2	249	ENSG00000249047	COX6B1P5	processed_pseudogene
MLLT10P2	ENSG00000249462.1	249	ENSG00000249462	MLLT10P2	processed_pseudogene
AC116353.3	ENSG00000250515.1	249	ENSG00000250515	AC116353.3	processed_pseudogene
AC104619.4	ENSG00000251228.1	249	ENSG00000251228	AC104619.4	processed_pseudogene
RN7SKP238	ENSG00000252292.1	249	ENSG00000252292	RN7SKP238	misc_RNA
IGLVVI-25-1	ENSG00000253779.1	249	ENSG00000253779	IGLVVI-25-1	IG_V_pseudogene
AC084851.1	ENSG00000254801.1	249	ENSG00000254801	AC084851.1	processed_pseudogene
AC087442.1	ENSG00000255091.1	249	ENSG00000255091	AC087442.1	antisense_RNA
TRAV15	ENSG00000258482.1	249	ENSG00000258482	TRAV15	TR_V_pseudogene
AC120498.2	ENSG00000260182.1	249	ENSG00000260182	AC120498.2	sense_intronic
AC092296.3	ENSG00000267363.1	249	ENSG00000267363	AC092296.3	lincRNA
AC006158.1	ENSG00000275310.1	249	ENSG00000275310	AC006158.1	processed_pseudogene
AC104971.4	ENSG00000275418.1	249	ENSG00000275418	AC104971.4	lincRNA
RN7SL185P	ENSG00000275776.1	249	ENSG00000275776	RN7SL185P	misc_RNA
AC012409.4	ENSG00000278146.1	249	ENSG00000278146	AC012409.4	lincRNA
NDUFA3P3	ENSG00000213032.3	250	ENSG00000213032	NDUFA3P3	processed_pseudogene
AC234771.1	ENSG00000223809.1	250	ENSG00000223809	AC234771.1	lincRNA
BX295541.1	ENSG00000225858.1	250	ENSG00000225858	BX295541.1	processed_pseudogene
AL358453.1	ENSG00000226324.1	250	ENSG00000226324	AL358453.1	processed_pseudogene
EEF1A1P39	ENSG00000230125.1	250	ENSG00000230125	EEF1A1P39	processed_pseudogene
AL592182.1	ENSG00000233407.1	250	ENSG00000233407	AL592182.1	antisense_RNA
AC245517.3	ENSG00000233720.1	250	ENSG00000233720	AC245517.3	unprocessed_pseudogene
ZMYND10-AS1	ENSG00000235058.1	250	ENSG00000235058	ZMYND10-AS1	antisense_RNA
COX7A2P2	ENSG00000236764.4	250	ENSG00000236764	COX7A2P2	processed_pseudogene
DPH3P2	ENSG00000237040.6	250	ENSG00000237040	DPH3P2	processed_pseudogene
BX276092.6	ENSG00000237182.1	250	ENSG00000237182	BX276092.6	processed_pseudogene
BX276092.8	ENSG00000237717.1	250	ENSG00000237717	BX276092.8	processed_pseudogene
RN7SL564P	ENSG00000240606.3	250	ENSG00000240606	RN7SL564P	misc_RNA
RN7SKP52	ENSG00000252028.1	250	ENSG00000252028	RN7SKP52	misc_RNA
RN7SKP88	ENSG00000252656.1	250	ENSG00000252656	RN7SKP88	misc_RNA
IGHVIII-82	ENSG00000253303.1	250	ENSG00000253303	IGHVIII-82	IG_V_pseudogene
IGLV3-6	ENSG00000253448.1	250	ENSG00000253448	IGLV3-6	IG_V_pseudogene
IGHVIII-26-1	ENSG00000253462.1	250	ENSG00000253462	IGHVIII-26-1	IG_V_pseudogene
IGHVII-44-2	ENSG00000253895.1	250	ENSG00000253895	IGHVII-44-2	IG_V_pseudogene
IGLVIV-59	ENSG00000254308.1	250	ENSG00000254308	IGLVIV-59	IG_V_pseudogene
AP003484.1	ENSG00000255266.1	250	ENSG00000255266	AP003484.1	processed_pseudogene
NDUFA3P4	ENSG00000259262.1	250	ENSG00000259262	NDUFA3P4	processed_pseudogene
AC140878.1	ENSG00000259822.2	250	ENSG00000259822	AC140878.1	processed_pseudogene
NDUFA3P6	ENSG00000262366.1	250	ENSG00000262366	NDUFA3P6	processed_pseudogene
AC011474.3	ENSG00000267574.1	250	ENSG00000267574	AC011474.3	lincRNA
AC004004.1	ENSG00000270317.1	250	ENSG00000270317	AC004004.1	processed_pseudogene
AL513534.2	ENSG00000270494.1	250	ENSG00000270494	AL513534.2	processed_pseudogene
AC067747.1	ENSG00000273153.1	250	ENSG00000273153	AC067747.1	lincRNA
PART1_2	ENSG00000275634.1	250	ENSG00000275634	PART1_2	misc_RNA
AC093850.1	ENSG00000216721.3	251	ENSG00000216721	AC093850.1	processed_pseudogene
UQCRHP3	ENSG00000224162.1	251	ENSG00000224162	UQCRHP3	processed_pseudogene
BX276092.1	ENSG00000224617.1	251	ENSG00000224617	BX276092.1	processed_pseudogene
TIMM8BP2	ENSG00000224908.1	251	ENSG00000224908	TIMM8BP2	processed_pseudogene
AC092567.1	ENSG00000226605.1	251	ENSG00000226605	AC092567.1	antisense_RNA
AC009961.2	ENSG00000227055.1	251	ENSG00000227055	AC009961.2	processed_pseudogene
AL445687.1	ENSG00000228530.1	251	ENSG00000228530	AL445687.1	processed_pseudogene
SNRPFP2	ENSG00000229786.1	251	ENSG00000229786	SNRPFP2	processed_pseudogene
AC114755.3	ENSG00000230353.5	251	ENSG00000230353	AC114755.3	processed_pseudogene
HSPE1P25	ENSG00000232015.2	251	ENSG00000232015	HSPE1P25	processed_pseudogene
AL441985.1	ENSG00000237891.1	251	ENSG00000237891	AL441985.1	processed_pseudogene
RPS27P23	ENSG00000239413.1	251	ENSG00000239413	RPS27P23	processed_pseudogene
RN7SL303P	ENSG00000240116.3	251	ENSG00000240116	RN7SL303P	misc_RNA
AC097484.2	ENSG00000251285.2	251	ENSG00000251285	AC097484.2	processed_pseudogene
AC139426.2	ENSG00000260642.1	251	ENSG00000260642	AC139426.2	lincRNA
AL670379.3	ENSG00000270456.1	251	ENSG00000270456	AL670379.3	processed_pseudogene
AC048344.3	ENSG00000271357.1	251	ENSG00000271357	AC048344.3	processed_pseudogene
AL353600.1	ENSG00000273012.1	251	ENSG00000273012	AL353600.1	lincRNA
PTGER4P2	ENSG00000184523.3	252	ENSG00000184523	PTGER4P2	processed_pseudogene
DEFB108C	ENSG00000215371.3	252	ENSG00000215371	DEFB108C	unprocessed_pseudogene
SELENOWP1	ENSG00000215900.4	252	ENSG00000215900	SELENOWP1	processed_pseudogene
AL121972.1	ENSG00000218459.1	252	ENSG00000218459	AL121972.1	processed_pseudogene
AC093019.1	ENSG00000226952.1	252	ENSG00000226952	AC093019.1	processed_pseudogene
HDGFP1	ENSG00000227183.3	252	ENSG00000227183	HDGFP1	processed_pseudogene
SPTLC1P5	ENSG00000227922.1	252	ENSG00000227922	SPTLC1P5	processed_pseudogene
AC092628.1	ENSG00000228806.1	252	ENSG00000228806	AC092628.1	unprocessed_pseudogene
AC068580.1	ENSG00000229512.1	252	ENSG00000229512	AC068580.1	sense_intronic
SNRPFP1	ENSG00000231878.1	252	ENSG00000231878	SNRPFP1	processed_pseudogene
RPS25P9	ENSG00000232142.1	252	ENSG00000232142	RPS25P9	processed_pseudogene
AC013262.1	ENSG00000233444.1	252	ENSG00000233444	AC013262.1	processed_pseudogene
AC002075.2	ENSG00000237729.2	252	ENSG00000237729	AC002075.2	processed_pseudogene
PTGER4P3	ENSG00000239684.2	252	ENSG00000239684	PTGER4P3	processed_pseudogene
AC098818.1	ENSG00000239793.1	252	ENSG00000239793	AC098818.1	processed_pseudogene
RPS27P29	ENSG00000240231.1	252	ENSG00000240231	RPS27P29	processed_pseudogene
RPS27P21	ENSG00000240759.1	252	ENSG00000240759	RPS27P21	processed_pseudogene
AC090602.1	ENSG00000242088.1	252	ENSG00000242088	AC090602.1	processed_pseudogene
TUBBP11	ENSG00000243195.1	252	ENSG00000243195	TUBBP11	processed_pseudogene
RN7SKP19	ENSG00000251825.1	252	ENSG00000251825	RN7SKP19	misc_RNA
AC012574.1	ENSG00000253471.1	252	ENSG00000253471	AC012574.1	lincRNA
SUMO2P18	ENSG00000253639.1	252	ENSG00000253639	SUMO2P18	processed_pseudogene
AC011131.1	ENSG00000254347.1	252	ENSG00000254347	AC011131.1	lincRNA
AP005436.2	ENSG00000255241.1	252	ENSG00000255241	AP005436.2	antisense_RNA
AL389895.1	ENSG00000258638.2	252	ENSG00000258638	AL389895.1	processed_pseudogene
RN7SL353P	ENSG00000263608.2	252	ENSG00000263608	RN7SL353P	misc_RNA
RN7SL73P	ENSG00000265882.2	252	ENSG00000265882	RN7SL73P	misc_RNA
AC008569.1	ENSG00000267379.1	252	ENSG00000267379	AC008569.1	antisense_RNA
NDUFA3P1	ENSG00000267590.1	252	ENSG00000267590	NDUFA3P1	processed_pseudogene
AL670379.1	ENSG00000270251.1	252	ENSG00000270251	AL670379.1	processed_pseudogene
AL670379.2	ENSG00000270397.1	252	ENSG00000270397	AL670379.2	processed_pseudogene
AL670379.5	ENSG00000270646.1	252	ENSG00000270646	AL670379.5	processed_pseudogene
AL670379.6	ENSG00000270678.1	252	ENSG00000270678	AL670379.6	processed_pseudogene
AL590032.1	ENSG00000270727.1	252	ENSG00000270727	AL590032.1	processed_pseudogene
AL670379.7	ENSG00000270736.1	252	ENSG00000270736	AL670379.7	processed_pseudogene
AL670379.8	ENSG00000270771.1	252	ENSG00000270771	AL670379.8	processed_pseudogene
AC024581.2	ENSG00000273860.1	252	ENSG00000273860	AC024581.2	processed_pseudogene
DEFB114	ENSG00000177684.3	253	ENSG00000177684	DEFB114	protein_coding
AC009276.1	ENSG00000224375.1	253	ENSG00000224375	AC009276.1	lincRNA
AC092647.2	ENSG00000227499.1	253	ENSG00000227499	AC092647.2	processed_pseudogene
BX679664.1	ENSG00000228665.2	253	ENSG00000228665	BX679664.1	processed_pseudogene
AL590762.4	ENSG00000229601.1	253	ENSG00000229601	AL590762.4	processed_pseudogene
KRTAP21-3	ENSG00000231068.1	253	ENSG00000231068	KRTAP21-3	protein_coding
RPS20P10	ENSG00000233971.1	253	ENSG00000233971	RPS20P10	processed_pseudogene
BCRP5	ENSG00000235062.4	253	ENSG00000235062	BCRP5	unprocessed_pseudogene
AC009518.3	ENSG00000236386.1	253	ENSG00000236386	AC009518.3	processed_pseudogene
AC245028.2	ENSG00000237127.1	253	ENSG00000237127	AC245028.2	unprocessed_pseudogene
AL034379.1	ENSG00000237749.4	253	ENSG00000237749	AL034379.1	processed_pseudogene
AL353813.1	ENSG00000240979.1	253	ENSG00000240979	AL353813.1	processed_pseudogene
RN7SL259P	ENSG00000241082.3	253	ENSG00000241082	RN7SL259P	misc_RNA
AC233724.7	ENSG00000249282.1	253	ENSG00000249282	AC233724.7	processed_pseudogene
SLC25A15P5	ENSG00000249288.1	253	ENSG00000249288	SLC25A15P5	unprocessed_pseudogene
HNRNPKP5	ENSG00000250662.1	253	ENSG00000250662	HNRNPKP5	processed_pseudogene
AC074131.1	ENSG00000250831.1	253	ENSG00000250831	AC074131.1	lincRNA
AC245166.1	ENSG00000253149.3	253	ENSG00000253149	AC245166.1	IG_V_pseudogene
IGKV3-25	ENSG00000253202.1	253	ENSG00000253202	IGKV3-25	IG_V_pseudogene
AC025647.1	ENSG00000253299.1	253	ENSG00000253299	AC025647.1	processed_pseudogene
AC139365.2	ENSG00000253845.1	253	ENSG00000253845	AC139365.2	processed_pseudogene
AC022616.8	ENSG00000255497.1	253	ENSG00000255497	AC022616.8	processed_pseudogene
AC027229.1	ENSG00000264193.1	253	ENSG00000264193	AC027229.1	processed_pseudogene
RN7SL785P	ENSG00000266158.2	253	ENSG00000266158	RN7SL785P	misc_RNA
AC104692.2	ENSG00000270405.1	253	ENSG00000270405	AC104692.2	processed_pseudogene
AL670379.9	ENSG00000271041.1	253	ENSG00000271041	AL670379.9	processed_pseudogene
AL670379.10	ENSG00000271154.1	253	ENSG00000271154	AL670379.10	processed_pseudogene
AL670379.11	ENSG00000271211.1	253	ENSG00000271211	AL670379.11	processed_pseudogene
AL670379.12	ENSG00000271502.1	253	ENSG00000271502	AL670379.12	processed_pseudogene
AC009994.1	ENSG00000271779.1	253	ENSG00000271779	AC009994.1	processed_pseudogene
AL031121.1	ENSG00000217514.1	254	ENSG00000217514	AL031121.1	processed_pseudogene
AL357315.1	ENSG00000227535.2	254	ENSG00000227535	AL357315.1	sense_overlapping
SRP68P2	ENSG00000227689.1	254	ENSG00000227689	SRP68P2	processed_pseudogene
AC253536.2	ENSG00000228039.3	254	ENSG00000228039	AC253536.2	processed_pseudogene
AC099336.2	ENSG00000236439.4	254	ENSG00000236439	AC099336.2	processed_pseudogene
AC011998.3	ENSG00000236664.1	254	ENSG00000236664	AC011998.3	sense_intronic
AC004930.1	ENSG00000241324.1	254	ENSG00000241324	AC004930.1	lincRNA
RN7SL332P	ENSG00000242989.3	254	ENSG00000242989	RN7SL332P	misc_RNA
AC145146.1	ENSG00000244717.1	254	ENSG00000244717	AC145146.1	processed_pseudogene
AC063919.1	ENSG00000251448.1	254	ENSG00000251448	AC063919.1	lincRNA
AL160262.1	ENSG00000253809.1	254	ENSG00000253809	AL160262.1	antisense_RNA
AC020611.1	ENSG00000255780.1	254	ENSG00000255780	AC020611.1	processed_pseudogene
AC078962.4	ENSG00000256670.1	254	ENSG00000256670	AC078962.4	antisense_RNA
AC131274.1	ENSG00000264262.1	254	ENSG00000264262	AC131274.1	lincRNA
AL670379.4	ENSG00000270493.1	254	ENSG00000270493	AL670379.4	processed_pseudogene
AC008162.1	ENSG00000271346.1	254	ENSG00000271346	AC008162.1	processed_pseudogene
AC134879.3	ENSG00000275828.1	254	ENSG00000275828	AC134879.3	unprocessed_pseudogene
AC138649.3	ENSG00000277755.1	254	ENSG00000277755	AC138649.3	processed_pseudogene
AC009248.2	ENSG00000278351.1	254	ENSG00000278351	AC009248.2	sense_intronic
EIF4E2P1	ENSG00000213384.2	255	ENSG00000213384	EIF4E2P1	processed_pseudogene
AL606845.1	ENSG00000219619.2	255	ENSG00000219619	AL606845.1	processed_pseudogene
AC098614.2	ENSG00000223968.1	255	ENSG00000223968	AC098614.2	processed_pseudogene
AC018797.1	ENSG00000224207.3	255	ENSG00000224207	AC018797.1	processed_pseudogene
AL500527.1	ENSG00000224302.1	255	ENSG00000224302	AL500527.1	processed_pseudogene
BX248409.1	ENSG00000225591.2	255	ENSG00000225591	BX248409.1	processed_pseudogene
AC005912.1	ENSG00000227081.5	255	ENSG00000227081	AC005912.1	processed_pseudogene
SUMO2P2	ENSG00000227607.2	255	ENSG00000227607	SUMO2P2	processed_pseudogene
RPL23AP89	ENSG00000227875.2	255	ENSG00000227875	RPL23AP89	processed_pseudogene
AC073850.1	ENSG00000229436.1	255	ENSG00000229436	AC073850.1	processed_pseudogene
AC092807.1	ENSG00000230285.1	255	ENSG00000230285	AC092807.1	lincRNA
AP000936.3	ENSG00000234268.1	255	ENSG00000234268	AP000936.3	processed_pseudogene
AC099560.2	ENSG00000234287.1	255	ENSG00000234287	AC099560.2	processed_pseudogene
BCRP8	ENSG00000236794.5	255	ENSG00000236794	BCRP8	processed_pseudogene
AC084357.1	ENSG00000240027.2	255	ENSG00000240027	AC084357.1	processed_pseudogene
RPS27P27	ENSG00000244043.1	255	ENSG00000244043	RPS27P27	processed_pseudogene
AC098583.1	ENSG00000244538.1	255	ENSG00000244538	AC098583.1	processed_pseudogene
AP000867.1	ENSG00000248903.1	255	ENSG00000248903	AP000867.1	processed_pseudogene
AC103879.1	ENSG00000251416.1	255	ENSG00000251416	AC103879.1	lincRNA
COX6B1P6	ENSG00000253349.1	255	ENSG00000253349	COX6B1P6	processed_pseudogene
AC104393.1	ENSG00000253509.1	255	ENSG00000253509	AC104393.1	sense_intronic
IGHVII-53-1	ENSG00000253714.1	255	ENSG00000253714	IGHVII-53-1	IG_V_pseudogene
AP003122.3	ENSG00000255170.2	255	ENSG00000255170	AP003122.3	processed_pseudogene
AC008740.1	ENSG00000257403.2	255	ENSG00000257403	AC008740.1	unprocessed_pseudogene
AC011611.6	ENSG00000258091.1	255	ENSG00000258091	AC011611.6	processed_pseudogene
AL049874.4	ENSG00000258764.1	255	ENSG00000258764	AL049874.4	transcribed_processed_pseudogene
AC104229.1	ENSG00000259608.1	255	ENSG00000259608	AC104229.1	processed_pseudogene
AC025271.3	ENSG00000261489.1	255	ENSG00000261489	AC025271.3	lincRNA
AC243960.5	ENSG00000269354.1	255	ENSG00000269354	AC243960.5	processed_pseudogene
AC008626.1	ENSG00000270518.2	255	ENSG00000270518	AC008626.1	unprocessed_pseudogene
RPL23AP92	ENSG00000270723.1	255	ENSG00000270723	RPL23AP92	processed_pseudogene
Z99129.1	ENSG00000275339.1	255	ENSG00000275339	Z99129.1	processed_pseudogene
AC145285.8	ENSG00000278528.1	255	ENSG00000278528	AC145285.8	unprocessed_pseudogene
AL353898.2	ENSG00000279049.1	255	ENSG00000279049	AL353898.2	pseudogene
AL359757.1	ENSG00000279550.1	255	ENSG00000279550	AL359757.1	TEC
AC087893.2	ENSG00000280110.1	255	ENSG00000280110	AC087893.2	TEC
AC231657.2	ENSG00000280116.2	255	ENSG00000280116	AC231657.2	unprocessed_pseudogene
AC012557.3	ENSG00000280620.1	255	ENSG00000280620	AC012557.3	antisense_RNA
HMGN2P30	ENSG00000213721.3	256	ENSG00000213721	HMGN2P30	processed_pseudogene
BOLA2P3	ENSG00000220771.2	256	ENSG00000220771	BOLA2P3	processed_pseudogene
AC010385.1	ENSG00000226400.2	256	ENSG00000226400	AC010385.1	processed_pseudogene
AC245028.1	ENSG00000226477.1	256	ENSG00000226477	AC245028.1	unprocessed_pseudogene
AL031313.1	ENSG00000228041.2	256	ENSG00000228041	AL031313.1	processed_pseudogene
LINC02522	ENSG00000231056.1	256	ENSG00000231056	LINC02522	lincRNA
AC116609.2	ENSG00000231173.1	256	ENSG00000231173	AC116609.2	lincRNA
AL589703.1	ENSG00000235201.1	256	ENSG00000235201	AL589703.1	lincRNA
HSPB1P1	ENSG00000236060.2	256	ENSG00000236060	HSPB1P1	processed_pseudogene
TIMM9P1	ENSG00000236900.1	256	ENSG00000236900	TIMM9P1	processed_pseudogene
HMGN1P32	ENSG00000237589.1	256	ENSG00000237589	HMGN1P32	processed_pseudogene
IGHVII-60-1	ENSG00000254329.1	256	ENSG00000254329	IGHVII-60-1	IG_V_pseudogene
AC120036.4	ENSG00000254348.1	256	ENSG00000254348	AC120036.4	processed_pseudogene
AC087362.2	ENSG00000255487.1	256	ENSG00000255487	AC087362.2	antisense_RNA
AC012038.2	ENSG00000257849.1	256	ENSG00000257849	AC012038.2	lincRNA
AC007225.2	ENSG00000261725.1	256	ENSG00000261725	AC007225.2	processed_pseudogene
RN7SL131P	ENSG00000264592.2	256	ENSG00000264592	RN7SL131P	misc_RNA
AL512605.2	ENSG00000267085.1	256	ENSG00000267085	AL512605.2	processed_pseudogene
AC093813.1	ENSG00000270584.1	256	ENSG00000270584	AC093813.1	processed_pseudogene
AL121992.2	ENSG00000271742.1	256	ENSG00000271742	AL121992.2	lincRNA
AC012467.1	ENSG00000271916.1	256	ENSG00000271916	AC012467.1	antisense_RNA
AC138894.4	ENSG00000275654.1	256	ENSG00000275654	AC138894.4	unprocessed_pseudogene
AC243773.3	ENSG00000277911.1	256	ENSG00000277911	AC243773.3	sense_intronic
AL137028.2	ENSG00000278171.1	256	ENSG00000278171	AL137028.2	processed_pseudogene
AC091895.1	ENSG00000279635.1	256	ENSG00000279635	AC091895.1	TEC
AC091925.2	ENSG00000279679.1	256	ENSG00000279679	AC091925.2	TEC
AL445433.1	ENSG00000227034.1	257	ENSG00000227034	AL445433.1	processed_pseudogene
AL512604.1	ENSG00000228292.1	257	ENSG00000228292	AL512604.1	processed_pseudogene
AL591212.2	ENSG00000235224.1	257	ENSG00000235224	AL591212.2	processed_pseudogene
AC092436.3	ENSG00000249277.1	257	ENSG00000249277	AC092436.3	processed_pseudogene
AC108516.1	ENSG00000250572.1	257	ENSG00000250572	AC108516.1	lincRNA
LINC02307	ENSG00000258969.1	257	ENSG00000258969	LINC02307	lincRNA
MRPS21P9	ENSG00000262759.1	257	ENSG00000262759	MRPS21P9	processed_pseudogene
RN7SL190P	ENSG00000264933.2	257	ENSG00000264933	RN7SL190P	misc_RNA
AC103810.4	ENSG00000266155.2	257	ENSG00000266155	AC103810.4	unprocessed_pseudogene
AL353807.4	ENSG00000271267.1	257	ENSG00000271267	AL353807.4	processed_pseudogene
HIGD1AP16	ENSG00000219608.3	258	ENSG00000219608	HIGD1AP16	processed_pseudogene
AC245054.1	ENSG00000223679.1	258	ENSG00000223679	AC245054.1	unprocessed_pseudogene
AL133244.1	ENSG00000223951.1	258	ENSG00000223951	AL133244.1	processed_pseudogene
AC007312.1	ENSG00000224946.1	258	ENSG00000224946	AC007312.1	processed_pseudogene
AC083855.1	ENSG00000226621.1	258	ENSG00000226621	AC083855.1	processed_pseudogene
AC092569.1	ENSG00000230118.1	258	ENSG00000230118	AC092569.1	processed_pseudogene
DYNLL1P7	ENSG00000230614.3	258	ENSG00000230614	DYNLL1P7	processed_pseudogene
ATP5J2P3	ENSG00000232851.3	258	ENSG00000232851	ATP5J2P3	processed_pseudogene
AL356311.1	ENSG00000233823.1	258	ENSG00000233823	AL356311.1	antisense_RNA
AL049646.2	ENSG00000237259.1	258	ENSG00000237259	AL049646.2	antisense_RNA
DDX39BP2	ENSG00000238024.1	258	ENSG00000238024	DDX39BP2	unprocessed_pseudogene
AC009244.1	ENSG00000238072.1	258	ENSG00000238072	AC009244.1	processed_pseudogene
RPS27P12	ENSG00000241673.1	258	ENSG00000241673	RPS27P12	processed_pseudogene
RN7SL250P	ENSG00000244107.3	258	ENSG00000244107	RN7SL250P	misc_RNA
AC131956.1	ENSG00000250034.1	258	ENSG00000250034	AC131956.1	lincRNA
AC074198.2	ENSG00000251162.1	258	ENSG00000251162	AC074198.2	processed_pseudogene
MRPL57P7	ENSG00000254312.1	258	ENSG00000254312	MRPL57P7	processed_pseudogene
AP000827.1	ENSG00000254888.2	258	ENSG00000254888	AP000827.1	processed_pseudogene
AC136443.2	ENSG00000255037.1	258	ENSG00000255037	AC136443.2	unprocessed_pseudogene
ATP5J2P5	ENSG00000256103.2	258	ENSG00000256103	ATP5J2P5	processed_pseudogene
AL022318.2	ENSG00000259421.1	258	ENSG00000259421	AL022318.2	unprocessed_pseudogene
AC136619.1	ENSG00000261181.1	258	ENSG00000261181	AC136619.1	unprocessed_pseudogene
AC106782.3	ENSG00000261203.1	258	ENSG00000261203	AC106782.3	unprocessed_pseudogene
RN7SL460P	ENSG00000263410.2	258	ENSG00000263410	RN7SL460P	misc_RNA
RN7SL198P	ENSG00000264036.2	258	ENSG00000264036	RN7SL198P	misc_RNA
AC004231.3	ENSG00000265359.1	258	ENSG00000265359	AC004231.3	antisense_RNA
RN7SL619P	ENSG00000266770.2	258	ENSG00000266770	RN7SL619P	misc_RNA
AP002414.5	ENSG00000267722.1	258	ENSG00000267722	AP002414.5	lincRNA
AC016885.3	ENSG00000268080.2	258	ENSG00000268080	AC016885.3	processed_pseudogene
AC006262.3	ENSG00000269745.1	258	ENSG00000269745	AC006262.3	antisense_RNA
AC068790.6	ENSG00000270095.1	258	ENSG00000270095	AC068790.6	sense_intronic
LINC01699	ENSG00000179452.2	259	ENSG00000179452	LINC01699	lincRNA
SPTLC1P3	ENSG00000219940.2	259	ENSG00000219940	SPTLC1P3	processed_pseudogene
BANF1P5	ENSG00000225935.1	259	ENSG00000225935	BANF1P5	processed_pseudogene
LINC01688	ENSG00000227181.1	259	ENSG00000227181	LINC01688	lincRNA
AL954722.1	ENSG00000228572.7	259	ENSG00000228572	AL954722.1	unprocessed_pseudogene
AL445189.2	ENSG00000228834.1	259	ENSG00000228834	AL445189.2	processed_pseudogene
AL359636.2	ENSG00000231465.2	259	ENSG00000231465	AL359636.2	antisense_RNA
UBE2V2P4	ENSG00000231849.1	259	ENSG00000231849	UBE2V2P4	processed_pseudogene
DNAJC19P8	ENSG00000232793.2	259	ENSG00000232793	DNAJC19P8	processed_pseudogene
TTTY20	ENSG00000232808.1	259	ENSG00000232808	TTTY20	antisense_RNA
